baron_english;Lord;Lord;Lord;;Lord;;;;;;;;;x
baron_female_english;Baroness;Baroness;Baroness;;Baroness;;;;;;;;;x
baron_title_ruler_consort_english;Lord;Lord;Lord;;Lord;;;;;;;;;x
baron_title_ruler_consort_female_english;Baroness;Baroness;Baroness;;Baroness;;;;;;;;;x
barony_english;Castle;Castle;Castle;;Castle;;;;;;;;;x
barony_of_english;Castle;Castle;Castle;;Castle;;;;;;;;;x
chief_english;Cheif;Cheif;Cheif;;Cheif;;;;;;;;;x
city_baron_english;Mayor;Mayor;Mayor;;Mayor;;;;;;;;;x
city_baron_female_english;Mayor;Mayor;Mayor;;Mayor;;;;;;;;;x
city_barony_english;City;City;City;;City;;;;;;;;;x
city_barony_of_english;City of;City of;City of;;City of;;;;;;;;;x
city_count_english;Lord Mayor;Lord Mayor;Lord Mayor;;Lord Mayor;;;;;;;;;x
city_count_female_english;Lady Mayoress;Lady Mayoress;Lady Mayoress;;Lady Mayoress;;;;;;;;;x
city_county_english;Grand City;Grand City;Grand City;;Grand City;;;;;;;;;x
city_county_of_english;Grand City of;Grand City of;Grand City of;;Grand City of;;;;;;;;;x
city_duchy_english;Republic;Republic;Republic;;Republic;;;;;;;;;x
city_duchy_of_english;Republic of;Republic of;Republic of;;Republic of;;;;;;;;;x
city_duke_english;Grand Mayor;Grand Mayor;Grand Mayor;;Grand Mayor;;;;;;;;;x
city_duke_female_english;Grand Mayoress;Grand Mayoress;Grand Mayoress;;Grand Mayoress;;;;;;;;;x
city_emperor_english;Grand Prince;Grand Prince;Grand Prince;;Grand Prince;;;;;;;;;x
city_emperor_female_english;Grand Princess;Grand Princess;Grand Princess;;Grand Princess;;;;;;;;;x
city_empire_english;Most Serene Republic;Most Serene Republic;Most Serene Republic;;Most Serene Republic;;;;;;;;;x
city_empire_of_english;Most Serene Republic of;Most Serene Republic of;Most Serene Republic of;;Most Serene Republic of;;;;;;;;;x
city_king_english;Prince Mayor;Prince Mayor;Prince Mayor;;Prince Mayor;;;;;;;;;x
city_king_female_english;Prince Mayor;Prince Mayor;Prince Mayor;;Prince Mayor;;;;;;;;;x
city_kingdom_english;Most Serene Republic;Most Serene Republic;Most Serene Republic;;Most Serene Republic;;;;;;;;;x
city_kingdom_of_english;Most Serene Republic of;Most Serene Republic of;Most Serene Republic of;;Most Serene Republic of;;;;;;;;;x
count_english;Count;Count;Count;;Count;;;;;;;;;x
count_female_english;Countess;Countess;Countess;;Countess;;;;;;;;;x
count_title_ruler_consort_english;Count;Count;Count;;Count;;;;;;;;;x
count_title_ruler_consort_female_english;Countess;Countess;Countess;;Countess;;;;;;;;;x
county_english;County;County;County;;County;;;;;;;;;x
county_of_english;County of;County of;County of;;County of;;;;;;;;;x
duchy_english;Duchy;Duchy;Duchy;;Duchy;;;;;;;;;x
duchy_of_english;Duchy of;Duchy of;Duchy of;;Duchy of;;;;;;;;;x
duke_english;Duke;Duke;Duke;;Duke;;;;;;;;;x
duke_female_english;Duchess;Duchess;Duchess;;Duchess;;;;;;;;;x
