baron_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
baron_irish;Tiarna;Tiarna;Tiarna;;Tiarna;;;;;;;;;x
baron_title_ruler_consort_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
baron_title_ruler_consort_irish;Tiarna;Tiarna;Tiarna;;Tiarna;;;;;;;;;x
barony_irish;Túath;Túath;Túath;;Túath;;;;;;;;;x
barony_of_irish;Túath of;Túath of;Túath of;;Túath of;;;;;;;;;x
city_baron_female_irish;Báille;Báille;Báille;;Báille;;;;;;;;;x # $I think it's ok but not sure
city_baron_irish;Báille;Báille;Báille;;Báille;;;;;;;;;x
city_barony_irish;Bhaile Mòr;Bhaile Mòr;Bhaile Mòr;;Bhaile Mòr;;;;;;;;;x
city_barony_of_irish;Bhaile Mòr of;Bhaile Mòr of;Bhaile Mòr of;;Bhaile Mòr of;;;;;;;;;x
city_count_female_irish;Provost;Provost;Provost;;Provost;;;;;;;;;x
city_count_irish;Provost;Provost;Provost;;Provost;;;;;;;;;x
city_county_irish;Siorrachd;Siorrachd;Siorrachd;;Siorrachd;;;;;;;;;x
city_county_of_irish;Siorrachd of;Siorrachd of;Siorrachd of;;Siorrachd of;;;;;;;;;x
count_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
count_irish;Ri Buiden;Ri Buiden;Ri Buiden;;Ri Buiden;;;;;;;;;x
count_title_ruler_consort_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
count_title_ruler_consort_irish;Ri Buiden;Ri Buiden;Ri Buiden;;Ri Buiden;;;;;;;;;x
county_irish;Cóicid;Cóicid;Cóicid;;Cóicid;;;;;;;;;x
county_of_irish;Cóicid of;Cóicid of;Cóicid of;;Cóicid of;;;;;;;;;x
duchy_irish;Rígdacht;Rígdacht;Rígdacht;;Rígdacht;;;;;;;;;x
duchy_of_irish;Rígdacht of;Rígdacht of;Rígdacht of;;Rígdacht of;;;;;;;;;x
duke_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
duke_irish;Ri Ruirech;Ri Ruirech;Ri Ruirech;;Ri Ruirech;;;;;;;;;x
duke_title_ruler_consort_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
duke_title_ruler_consort_irish;Ri Ruirech;Ri Ruirech;Ri Ruirech;;Ri Ruirech;;;;;;;;;x
emperor_female_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_title_ruler_consort_female_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_title_ruler_consort_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
imperial_baron_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
imperial_baron_irish;Tiarna;Tiarna;Tiarna;;Tiarna;;;;;;;;;x
imperial_barony_irish;Túath;Túath;Túath;;Túath;;;;;;;;;x
imperial_barony_of_irish;Túath of;Túath of;Túath of;;Túath of;;;;;;;;;x
imperial_city_baron_female_irish;Báille;Báille;Báille;;Báille;;;;;;;;;x # $I think it's ok but not sure
imperial_city_baron_irish;Báille;Báille;Báille;;Báille;;;;;;;;;x
imperial_city_barony_irish;Bhaile Mòr;Bhaile Mòr;Bhaile Mòr;;Bhaile Mòr;;;;;;;;;x
imperial_city_barony_of_irish;Bhaile Mòr of;Bhaile Mòr of;Bhaile Mòr of;;Bhaile Mòr of;;;;;;;;;x
imperial_city_county_irish;Siorrachd;Siorrachd;Siorrachd;;Siorrachd;;;;;;;;;x
imperial_city_county_of_irish;Siorrachd of;Siorrachd of;Siorrachd of;;Siorrachd of;;;;;;;;;x
imperial_count_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
imperial_count_irish;Ri Buiden;Ri Buiden;Ri Buiden;;Ri Buiden;;;;;;;;;x
imperial_county_irish;Cóicid;Cóicid;Cóicid;;Cóicid;;;;;;;;;x
imperial_county_of_irish;Cóicid of;Cóicid of;Cóicid of;;Cóicid of;;;;;;;;;x
imperial_duchy_irish;Rígdacht;Rígdacht;Rígdacht;;Rígdacht;;;;;;;;;x
imperial_duchy_of_irish;Rígdacht of;Rígdacht of;Rígdacht of;;Rígdacht of;;;;;;;;;x
imperial_duke_female_irish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
imperial_duke_irish;Ri Ruirech;Ri Ruirech;Ri Ruirech;;Ri Ruirech;;;;;;;;;x
imperial_emperor_female_irish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
