baron_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
baron_scottish;Tiarna;Tiarna;Tiarna;;Tiarna;;;;;;;;;x
baron_title_ruler_consort_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
baron_title_ruler_consort_scottish;Tiarna;Tiarna;Tiarna;;Tiarna;;;;;;;;;x
barony_of_scottish;Túath of;Túath of;Túath of;;Túath of;;;;;;;;;x
barony_scottish;Túath;Túath;Túath;;Túath;;;;;;;;;x
city_baron_female_scottish;Báille;Báille;Báille;;Báille;;;;;;;;;x # $I think it's ok but not sure
city_baron_scottish;Báille;Báille;Báille;;Báille;;;;;;;;;x
city_barony_of_scottish;Bhaile Mòr of;Bhaile Mòr of;Bhaile Mòr of;;Bhaile Mòr of;;;;;;;;;x
city_barony_scottish;Bhaile Mòr;Bhaile Mòr;Bhaile Mòr;;Bhaile Mòr;;;;;;;;;x
city_count_female_scottish;Provost;Provost;Provost;;Provost;;;;;;;;;x
city_count_scottish;Provost;Provost;Provost;;Provost;;;;;;;;;x
city_county_of_scottish;Siorrachd of;Siorrachd of;Siorrachd of;;Siorrachd of;;;;;;;;;x
city_county_scottish;Siorrachd;Siorrachd;Siorrachd;;Siorrachd;;;;;;;;;x
count_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
count_scottish;Ri Buiden;Ri Buiden;Ri Buiden;;Ri Buiden;;;;;;;;;x
count_title_ruler_consort_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
count_title_ruler_consort_scottish;Ri Buiden;Ri Buiden;Ri Buiden;;Ri Buiden;;;;;;;;;x
county_of_scottish;Cóicid of;Cóicid of;Cóicid of;;Cóicid of;;;;;;;;;x
county_scottish;Cóicid;Cóicid;Cóicid;;Cóicid;;;;;;;;;x
duchy_of_scottish;Rìochd of;Rìochd of;Rìochd of;;Rìochd of;;;;;;;;;x
duchy_scottish;Rìochd;Rìochd;Rìochd;;Rìochd;;;;;;;;;x
duke_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
duke_scottish;Ri Ruirech;Ri Ruirech;Ri Ruirech;;Ri Ruirech;;;;;;;;;x
duke_title_ruler_consort_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
duke_title_ruler_consort_scottish;Ri Ruirech;Ri Ruirech;Ri Ruirech;;Ri Ruirech;;;;;;;;;x
emperor_female_scottish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_scottish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_title_ruler_consort_female_scottish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
emperor_title_ruler_consort_scottish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
empire_of_scottish;Impireacht of;Impireacht of;Impireacht of;;Impireacht of;;;;;;;;;x
empire_scottish;Impireacht;Impireacht;Impireacht;;Impireacht;;;;;;;;;x
imperial_baron_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
imperial_baron_scottish;Tiarna;Tiarna;Tiarna;;Tiarna;;;;;;;;;x
imperial_barony_of_scottish;Túath of;Túath of;Túath of;;Túath of;;;;;;;;;x
imperial_barony_scottish;Túath;Túath;Túath;;Túath;;;;;;;;;x
imperial_city_baron_female_scottish;Báille;Báille;Báille;;Báille;;;;;;;;;x # $I think it's ok but not sure
imperial_city_baron_scottish;Báille;Báille;Báille;;Báille;;;;;;;;;x
imperial_city_barony_of_scottish;Bhaile Mòr of;Bhaile Mòr of;Bhaile Mòr of;;Bhaile Mòr of;;;;;;;;;x
imperial_city_barony_scottish;Bhaile Mòr;Bhaile Mòr;Bhaile Mòr;;Bhaile Mòr;;;;;;;;;x
imperial_city_county_of_scottish;Siorrachd of;Siorrachd of;Siorrachd of;;Siorrachd of;;;;;;;;;x
imperial_city_county_scottish;Siorrachd;Siorrachd;Siorrachd;;Siorrachd;;;;;;;;;x
imperial_count_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
imperial_count_scottish;Ri Buiden;Ri Buiden;Ri Buiden;;Ri Buiden;;;;;;;;;x
imperial_county_of_scottish;Cóicid of;Cóicid of;Cóicid of;;Cóicid of;;;;;;;;;x
imperial_county_scottish;Cóicid;Cóicid;Cóicid;;Cóicid;;;;;;;;;x
imperial_duchy_of_scottish;Rìochd of;Rìochd of;Rìochd of;;Rìochd of;;;;;;;;;x
imperial_duchy_scottish;Rìochd;Rìochd;Rìochd;;Rìochd;;;;;;;;;x
imperial_duke_female_scottish;Bantiarna;Bantiarna;Bantiarna;;Bantiarna;;;;;;;;;x
imperial_duke_scottish;Ri Ruirech;Ri Ruirech;Ri Ruirech;;Ri Ruirech;;;;;;;;;x
imperial_emperor_female_scottish;Ollamh Érenn;Ollamh Érenn;Ollamh Érenn;;Ollamh Érenn;;;;;;;;;x
