baron_female_soninke;Kafuna;Kafuna;Kafuna;;Kafuna;;;;;;;;;x # $Or Tigua
baron_soninke;Kafi;Kafi;Kafi;;Kafi;;;;;;;;;x # $Or Tigui
baron_title_ruler_consort_female_soninke;Kafuna;Kafuna;Kafuna;;Kafuna;;;;;;;;;x # $Or Tigua
baron_title_ruler_consort_soninke;Kafi;Kafi;Kafi;;Kafi;;;;;;;;;x # $Or Tigui
barony_of_soninke;Kafu of;Kafu of;Kafu of;;Kafu of;;;;;;;;;x
barony_soninke;Kafu;Kafu;Kafu;;Kafu;;;;;;;;;x
city_county_of_soninke;Farinate of;Farinate of;Farinate of;;Farinate of;;;;;;;;;x
city_county_soninke;Farinate;Farinate;Farinate;;Farinate;;;;;;;;;x
count_female_soninke;Farina;Farina;Farina;;Farina;;;;;;;;;x
count_soninke;Farin;Farin;Farin;;Farin;;;;;;;;;x
count_title_ruler_consort_female_soninke;Farina;Farina;Farina;;Farina;;;;;;;;;x
count_title_ruler_consort_soninke;Farin;Farin;Farin;;Farin;;;;;;;;;x
county_of_soninke;Jamana of;Jamana of;Jamana of;;Jamana of;;;;;;;;;x
county_soninke;Jamana;Jamana;Jamana;;Jamana;;;;;;;;;x
duchy_of_soninke;Maghanate of;Maghanate of;Maghanate of;;Maghanate of;;;;;;;;;x
duchy_soninke;Maghanate;Maghanate;Maghanate;;Maghanate;;;;;;;;;x
duke_female_soninke;Manga;Manga;Manga;;Manga;;;;;;;;;x
duke_soninke;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x
duke_title_ruler_consort_female_soninke;Manga;Manga;Manga;;Manga;;;;;;;;;x
duke_title_ruler_consort_soninke;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x
emperor_female_soninke;Mansina;Mansina;Mansina;;Mansina;;;;;;;;;x
emperor_soninke;Mansa;Mansa;Mansa;;Mansa;;;;;;;;;x
emperor_title_ruler_consort_female_soninke;Mansina;Mansina;Mansina;;Mansina;;;;;;;;;x
emperor_title_ruler_consort_soninke;Mansa;Mansa;Mansa;;Mansa;;;;;;;;;x
empire_of_soninke;Kurufaba of;Kurufaba of;Kurufaba of;;Kurufaba of;;;;;;;;;x
empire_soninke;Kurufaba;Kurufaba;Kurufaba;;Kurufaba;;;;;;;;;x
imperial_baron_female_soninke;Kafuna;Kafuna;Kafuna;;Kafuna;;;;;;;;;x # $Or Tigua
imperial_baron_soninke;Kafi;Kafi;Kafi;;Kafi;;;;;;;;;x # $Or Tigui
imperial_barony_of_soninke;Kafu of;Kafu of;Kafu of;;Kafu of;;;;;;;;;x
imperial_barony_soninke;Kafu;Kafu;Kafu;;Kafu;;;;;;;;;x
imperial_city_county_of_soninke;Farinate of;Farinate of;Farinate of;;Farinate of;;;;;;;;;x
imperial_city_county_soninke;Farinate;Farinate;Farinate;;Farinate;;;;;;;;;x
imperial_count_female_soninke;Farina;Farina;Farina;;Farina;;;;;;;;;x
imperial_count_soninke;Farin;Farin;Farin;;Farin;;;;;;;;;x
imperial_county_of_soninke;Jamana of;Jamana of;Jamana of;;Jamana of;;;;;;;;;x
imperial_county_soninke;Jamana;Jamana;Jamana;;Jamana;;;;;;;;;x
imperial_duchy_of_soninke;Maghanate of;Maghanate of;Maghanate of;;Maghanate of;;;;;;;;;x
imperial_duchy_soninke;Maghanate;Maghanate;Maghanate;;Maghanate;;;;;;;;;x
imperial_duke_female_soninke;Manga;Manga;Manga;;Manga;;;;;;;;;x
imperial_duke_soninke;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x
imperial_emperor_female_soninke;Mansina;Mansina;Mansina;;Mansina;;;;;;;;;x
imperial_emperor_soninke;Mansa;Mansa;Mansa;;Mansa;;;;;;;;;x
imperial_empire_of_soninke;Kurufaba of;Kurufaba of;Kurufaba of;;Kurufaba of;;;;;;;;;x
imperial_empire_soninke;Kurufaba;Kurufaba;Kurufaba;;Kurufaba;;;;;;;;;x
imperial_job_spiritual_christian_soninke;Hogon;Hogon;Hogon;;Hogon;;;;;;;;;x
imperial_job_spiritual_soninke;Hogon;Hogon;Hogon;;Hogon;;;;;;;;;x
imperial_king_female_soninke;Ghanina;Ghanina;Ghanina;;Ghanina;;;;;;;;;x # $Or Malika
imperial_king_soninke;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x # $Or Faama
imperial_king_title_ruler_consort_female_soninke;Ghanina;Ghanina;Ghanina;;Ghanina;;;;;;;;;x # $Or Malika
imperial_king_title_ruler_consort_soninke;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x # $Or Faama
imperial_kingdom_of_soninke;Ghanate of;Ghanate of;Ghanate of;;Ghanate of;;;;;;;;;x
imperial_kingdom_soninke;Ghanate;Ghanate;Ghanate;;Ghanate;;;;;;;;;x
imperial_title_prince_female_soninke;Manga;Manga;Manga;;Manga;;;;;;;;;x # $Or Farba
imperial_title_prince_soninke;Maghan;Maghan;Maghan;;Maghan;;;;;;;;;x # $Or Farbas
