baron_female_norsegaelic;Bana-Mhorair;Bana-Mhorair;Bana-Mhorair;;Bana-Mhorair;;;;;;;;;x
baron_norsegaelic;Morair;Morair;Morair;;Morair;;;;;;;;;x
baron_title_ruler_consort_female_norsegaelic;Bana-Mhorair;Bana-Mhorair;Bana-Mhorair;;Bana-Mhorair;;;;;;;;;x
baron_title_ruler_consort_norsegaelic;Morair;Morair;Morair;;Morair;;;;;;;;;x
barony_norsegaelic;Moraireachd;Moraireachd;Moraireachd;;Moraireachd;;;;;;;;;x
barony_of_norsegaelic;Moraireachd of;Moraireachd of;Moraireachd of;;Moraireachd of;;;;;;;;;x
city_baron_female_norsegaelic;Báille;Báille;Báille;;Báille;;;;;;;;;x # $I think it's ok but not sure
city_baron_norsegaelic;Báille;Báille;Báille;;Báille;;;;;;;;;x
city_barony_norsegaelic;Bhaile Mòr;Bhaile Mòr;Bhaile Mòr;;Bhaile Mòr;;;;;;;;;x
city_barony_of_norsegaelic;Bhaile Mòr of;Bhaile Mòr of;Bhaile Mòr of;;Bhaile Mòr of;;;;;;;;;x
city_count_female_norsegaelic;Provost;Provost;Provost;;Provost;;;;;;;;;x
city_count_norsegaelic;Provost;Provost;Provost;;Provost;;;;;;;;;x
city_county_norsegaelic;Siorrachd;Siorrachd;Siorrachd;;Siorrachd;;;;;;;;;x
city_county_of_norsegaelic;Siorrachd of;Siorrachd of;Siorrachd of;;Siorrachd of;;;;;;;;;x
count_female_norsegaelic;Baintighearna;Baintighearna;Baintighearna;;Baintighearna;;;;;;;;;x
count_norsegaelic;Iarla;Iarla;Iarla;;Iarla;;;;;;;;;x
count_title_ruler_consort_female_norsegaelic;Baintighearna;Baintighearna;Baintighearna;;Baintighearna;;;;;;;;;x
count_title_ruler_consort_norsegaelic;Iarla;Iarla;Iarla;;Iarla;;;;;;;;;x
county_norsegaelic;Iarlachd;Iarlachd;Iarlachd;;Iarlachd;;;;;;;;;x
county_of_norsegaelic;Iarlachd of;Iarlachd of;Iarlachd of;;Iarlachd of;;;;;;;;;x
duchy_norsegaelic;Rìochd;Rìochd;Rìochd;;Rìochd;;;;;;;;;x
