baron_female_old_hungarian;Altisban;Altisban;Altisban;;Altisban;;;;;;;;;x
baron_old_hungarian;Altisban;Altisban;Altisban;;Altisban;;;;;;;;;x
baron_title_ruler_consort_female_old_hungarian;Altisbanne;Altisbanne;Altisbanne;;Altisbanne;;;;;;;;;x
baron_title_ruler_consort_old_hungarian;Altisban;Altisban;Altisban;;Altisban;;;;;;;;;x
barony_of_old_hungarian;Varubiratuk of;Varubiratuk of;Varubiratuk of;;Varubiratuk of;;;;;;;;;x
barony_old_hungarian;Varubiratuk;Varubiratuk;Varubiratuk;;Varubiratuk;;;;;;;;;x
city_baron_female_old_hungarian;Bira;Bira;Bira;;Bira;;;;;;;;;x
city_baron_old_hungarian;Bira;Bira;Bira;;Bira;;;;;;;;;x
city_barony_of_old_hungarian;Varas of;Varas of;Varas of;;Varas of;;;;;;;;;x
city_barony_old_hungarian;Varas;Varas;Varas;;Varas;;;;;;;;;x
city_count_female_old_hungarian;Folbira;Folbira;Folbira;;Folbira;;;;;;;;;x
city_count_old_hungarian;Folbira;Folbira;Folbira;;Folbira;;;;;;;;;x
city_county_of_old_hungarian;Varasmeda of;Varasmeda of;Varasmeda of;;Varasmeda of;;;;;;;;;x
city_county_old_hungarian;Varasmeda;Varasmeda;Varasmeda;;Varasmeda;;;;;;;;;x
city_duchy_of_old_hungarian;Fedelemseg of;Fedelemseg of;Fedelemseg of;;Fedelemseg of;;;;;;;;;x
city_duchy_old_hungarian;Fedelemseg;Fedelemseg;Fedelemseg;;Fedelemseg;;;;;;;;;x
city_duke_female_old_hungarian;Fedelem;Fedelem;Fedelem;;Fedelem;;;;;;;;;x
city_duke_old_hungarian;Fedelem;Fedelem;Fedelem;;Fedelem;;;;;;;;;x
city_emperor_female_old_hungarian;Nahfedelem;Nahfedelem;Nahfedelem;;Nahfedelem;;;;;;;;;x
city_emperor_old_hungarian;Nahfedelem;Nahfedelem;Nahfedelem;;Nahfedelem;;;;;;;;;x
city_empire_of_old_hungarian;Nahfedelemseg of;Nahfedelemseg of;Nahfedelemseg of;;Nahfedelemseg of;;;;;;;;;x
city_empire_old_hungarian;Nahfedelemseg;Nahfedelemseg;Nahfedelemseg;;Nahfedelemseg;;;;;;;;;x
city_king_female_old_hungarian;Nahfedelem;Nahfedelem;Nahfedelem;;Nahfedelem;;;;;;;;;x
city_king_old_hungarian;Nahfedelem;Nahfedelem;Nahfedelem;;Nahfedelem;;;;;;;;;x
city_kingdom_of_old_hungarian;Nahfedelemseg of;Nahfedelemseg of;Nahfedelemseg of;;Nahfedelemseg of;;;;;;;;;x
city_kingdom_old_hungarian;Nahfedelemseg;Nahfedelemseg;Nahfedelemseg;;Nahfedelemseg;;;;;;;;;x
COPTIC_POPE_old_hungarian;Pápa;Pápa;Pápa;;Pápa;;;;;;;;;x
count_female_old_hungarian;Isban;Isban;Isban;;Isban;;;;;;;;;x
count_old_hungarian;Isban;Isban;Isban;;Isban;;;;;;;;;x
count_title_ruler_consort_female_old_hungarian;Isbanne;Isbanne;Isbanne;;Isbanne;;;;;;;;;x
count_title_ruler_consort_old_hungarian;Isban;Isban;Isban;;Isban;;;;;;;;;x
county_of_old_hungarian;Varumeda of;Varumeda of;Varumeda of;;Varumeda of;;;;;;;;;x
county_old_hungarian;Varumeda;Varumeda;Varumeda;;Varumeda;;;;;;;;;x
duchy_of_old_hungarian;Dsulazag of;Dsulazag of;Dsulazag of;;Dsulazag of;;;;;;;;;x
duchy_old_hungarian;Dsulazag;Dsulazag;Dsulazag;;Dsulazag;;;;;;;;;x
duke_female_old_hungarian;Dsula;Dsula;Dsula;;Dsula;;;;;;;;;x
duke_old_hungarian;Dsula;Dsula;Dsula;;Dsula;;;;;;;;;x
duke_title_ruler_consort_female_old_hungarian;Dsulane;Dsulane;Dsulane;;Dsulane;;;;;;;;;x
duke_title_ruler_consort_old_hungarian;Dsula;Dsula;Dsula;;Dsula;;;;;;;;;x
ECUMENICAL_PATRIARCH_old_hungarian;Ökumenikus Pátriárka;Ökumenikus Pátriárka;Ökumenikus Pátriárka;;Ökumenikus Pátriárka;;;;;;;;;x
emperor_female_old_hungarian;Sahzarno;Sahzarno;Sahzarno;;Sahzarno;;;;;;;;;x
emperor_old_hungarian;Sahzar;Sahzar;Sahzar;;Sahzar;;;;;;;;;x
emperor_title_ruler_consort_female_old_hungarian;Sahzarne;Sahzarne;Sahzarne;;Sahzarne;;;;;;;;;x
emperor_title_ruler_consort_old_hungarian;Sahzar;Sahzar;Sahzar;;Sahzar;;;;;;;;;x
empire_of_old_hungarian;Birodalom of;Birodalom of;Birodalom of;;Birodalom of;;;;;;;;;x
empire_old_hungarian;Birodalom;Birodalom;Birodalom;;Birodalom;;;;;;;;;x
imperial_baron_female_old_hungarian;Altisban;Altisban;Altisban;;Altisban;;;;;;;;;x
imperial_baron_old_hungarian;Altisban;Altisban;Altisban;;Altisban;;;;;;;;;x
imperial_barony_of_old_hungarian;Varubiratuk of;Varubiratuk of;Varubiratuk of;;Varubiratuk of;;;;;;;;;x
imperial_barony_old_hungarian;Varubiratuk;Varubiratuk;Varubiratuk;;Varubiratuk;;;;;;;;;x
imperial_city_baron_female_old_hungarian;Bira;Bira;Bira;;Bira;;;;;;;;;x
imperial_city_baron_old_hungarian;Bira;Bira;Bira;;Bira;;;;;;;;;x
imperial_city_barony_of_old_hungarian;Varas of;Varas of;Varas of;;Varas of;;;;;;;;;x
imperial_city_barony_old_hungarian;Varas;Varas;Varas;;Varas;;;;;;;;;x
imperial_city_county_of_old_hungarian;Varasmeda of;Varasmeda of;Varasmeda of;;Varasmeda of;;;;;;;;;x
imperial_city_county_old_hungarian;Varasmeda;Varasmeda;Varasmeda;;Varasmeda;;;;;;;;;x
imperial_count_female_old_hungarian;Isban;Isban;Isban;;Isban;;;;;;;;;x
imperial_count_old_hungarian;Isban;Isban;Isban;;Isban;;;;;;;;;x
imperial_county_of_old_hungarian;Varumeda of;Varumeda of;Varumeda of;;Varumeda of;;;;;;;;;x
imperial_county_old_hungarian;Varumeda;Varumeda;Varumeda;;Varumeda;;;;;;;;;x
imperial_duchy_of_old_hungarian;Dsulazag of;Dsulazag of;Dsulazag of;;Dsulazag of;;;;;;;;;x
