baron_female_szekely;Alispán;Alispán;Alispán;;Alispán;;;;;;;;;x
baron_szekely;Alispán;Alispán;Alispán;;Alispán;;;;;;;;;x
baron_title_ruler_consort_female_szekely;Alispánné;Alispánné;Alispánné;;Alispánné;;;;;;;;;x
baron_title_ruler_consort_szekely;Alispán;Alispán;Alispán;;Alispán;;;;;;;;;x
barony_of_szekely;Várbirtok of;Várbirtok of;Várbirtok of;;Várbirtok of;;;;;;;;;x
barony_szekely;Várbirtok;Várbirtok;Várbirtok;;Várbirtok;;;;;;;;;x
city_baron_female_szekely;Bíró;Bíró;Bíró;;Bíró;;;;;;;;;x
city_baron_szekely;Bíró;Bíró;Bíró;;Bíró;;;;;;;;;x
city_barony_of_szekely;Város of;Város of;Város of;;Város of;;;;;;;;;x
city_barony_szekely;Város;Város;Város;;Város;;;;;;;;;x
city_count_female_szekely;Polgármester;Polgármester;Polgármester;;Polgármester;;;;;;;;;x
city_count_szekely;Polgármester;Polgármester;Polgármester;;Polgármester;;;;;;;;;x
city_county_of_szekely;Városmegye of;Városmegye of;Városmegye of;;Városmegye of;;;;;;;;;x
city_county_szekely;Városmegye;Városmegye;Városmegye;;Városmegye;;;;;;;;;x
city_duchy_of_szekely;Fejedelemség of;Fejedelemség of;Fejedelemség of;;Fejedelemség of;;;;;;;;;x
city_duchy_szekely;Fejedelemség;Fejedelemség;Fejedelemség;;Fejedelemség;;;;;;;;;x
city_duke_female_szekely;Fejedelem;Fejedelem;Fejedelem;;Fejedelem;;;;;;;;;x
city_duke_szekely;Fejedelem;Fejedelem;Fejedelem;;Fejedelem;;;;;;;;;x
city_emperor_female_szekely;Nagyfejedelem;Nagyfejedelem;Nagyfejedelem;;Nagyfejedelem;;;;;;;;;x
city_emperor_szekely;Nagyfejedelem;Nagyfejedelem;Nagyfejedelem;;Nagyfejedelem;;;;;;;;;x
city_empire_of_szekely;Nagyfejedelemség of;Nagyfejedelemség of;Nagyfejedelemség of;;Nagyfejedelemség of;;;;;;;;;x
city_empire_szekely;Nagyfejedelemség;Nagyfejedelemség;Nagyfejedelemség;;Nagyfejedelemség;;;;;;;;;x
city_king_female_szekely;Nagyfejedelem;Nagyfejedelem;Nagyfejedelem;;Nagyfejedelem;;;;;;;;;x
city_king_szekely;Nagyfejedelem;Nagyfejedelem;Nagyfejedelem;;Nagyfejedelem;;;;;;;;;x
city_kingdom_of_szekely;Nagyfejedelemség of;Nagyfejedelemség of;Nagyfejedelemség of;;Nagyfejedelemség of;;;;;;;;;x
city_kingdom_szekely;Nagyfejedelemség;Nagyfejedelemség;Nagyfejedelemség;;Nagyfejedelemség;;;;;;;;;x
COPTIC_POPE_szekely;Pápa;Pápa;Pápa;;Pápa;;;;;;;;;x
count_female_szekely;Ispán;Ispán;Ispán;;Ispán;;;;;;;;;x
