########################################
#NOBLES
########################################
baron_bulgarian;Zhupan;Zhupan;Zhupan;;Zhupan;;;;;;;;;x
count_bulgarian;Kmet;Kmet;Kmet;;Kmet;;;;;;;;;x
count_female_bulgarian;Kmetitsa;Kmetitsa;Kmetitsa;;Kmetitsa;;;;;;;;;x
count_title_ruler_consort_female_bulgarian;Kmetsha;Kmetsha;Kmetsha;;Kmetsha;;;;;;;;;x
duke_bulgarian;Bolyarin;Bolyarin;Bolyarin;;Bolyarin;;;;;;;;;x
duke_female_bulgarian;Bolyarin;Bolyarin;Bolyarin;;Bolyarin;;;;;;;;;x
duke_title_ruler_consort_female_bulgarian;Barinya;Barinya;Barinya;;Barinya;;;;;;;;;x
king_bulgarian;Tsar;Tsar;Tsar;;Tsar;;;;;;;;;x
king_female_bulgarian;Tsaritsa;Tsaritsa;Tsaritsa;;Tsaritsa;;;;;;;;;x
########################################
#TITLES
########################################
barony_of_bulgarian;Zhupaniya;Zhupaniya;Zhupaniya;;Zhupaniya;;;;;;;;;x
county_of_bulgarian;Komitat na;Komitat na;Komitat na;;Komitat na;;;;;;;;;x
duchy_of_bulgarian;Bolyarstvo na;Bolyarstvo na;Bolyarstvo na;;Bolyarstvo na;;;;;;;;;x
kingdom_of_bulgarian;Tsarstvo na;Tsarstvo na;Tsarstvo na;;Tsarstvo na;;;;;;;;;x
########################################
#JOBS
########################################
job_chancellor_bulgarian;Logotet;Logotet;Logotet;;Logotet;;;;;;;;;x
job_chancellor_tengri_pagan_bulgarian;Kavhan;Kavhan;Kavhan;;Kavhan;;;;;;;;;x
job_marshal_bulgarian;Chargobilya;Chargobilya;Chargobilya;;Chargobilya;;;;;;;;;x
job_marshal_tengri_pagan_bulgarian;Ichirgu-boila;Ichirgu-boila;Ichirgu-boila;;Ichirgu-boila;;;;;;;;;x
job_treasurer_bulgarian;Protovestiariî;Protovestiariî;Protovestiariî;;Protovestiariî;;;;;;;;;x
job_spiritual_orthodox_bulgarian;Patriarkh;Patriarkh;Patriarkh;;Patriarkh;;;;;;;;;x
job_spiritual_tengri_pagan_bulgarian;Kolobr;Kolobr;Kolobr;;Kolobr;;;;;;;;;x
########################################
#MINOR
########################################

